txid,block_height,block_hash,block_time_utc,input_count,input_value_sats,output_count,cluster_output_value_sats,fee_sats,fee_rate,input_script_types,output_script_types,destination_or_intermediate_address,classification,confidence,classification_reason,source
04c5f379418d24b04c19255927a118d328f7b05c9a1b3b1145d6c3898306ea77,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,1,311197540,1,311194240,3300,30.206,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
0808e90ee79112d04acf74d62611238d9f209d215143c6b425aa291e42f3e55f,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,1,264466008,1,264462708,3300,30.137,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
08a64f7293b3a4b0d364d8481fe5db9c4c48f14f9640e978c9950754072f87fe,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,1,290221698,1,290218398,3300,30.206,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
0ab12fb49dd2df0322a90fd70a4a21fefae958687be2be880105b7b493f265ee,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,2,700000294,1,699994954,5340,30.127,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
0abb92950e601bfe98eb0102ff8cf1a17c2c4cbebc32a45b8d6b422db4e6b5c0,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,3,1005129695,1,1005122315,7380,30.122,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
1b3b0245337abc6c44d005096262acc74f660e9473d9fbe170bc3a4ebe8b9d20,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,1,399998398,1,399995098,3300,30.137,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
1fc3f22028e11c287134531f776806196efcac46b266790e9a3965f0d51793a3,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,1,211320203,1,211316903,3300,30.137,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
2cfbaf06ba99bd159373d973cd87a1f623c6ffb58b6e1935593c8f101e1d2072,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,2,870412996,1,870407656,5340,30.085,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
2d11fa39e490b5525acb2e2f4febd8dd68446567f102d4edfd0dc5a0ee1e935d,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,1,202340089,1,202336789,3300,30.206,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
2d1b3afa3fa0b1b83c7ccdee478e6f66225458f93fd4c4cc05fc9f1f4f3fdd79,960188,0000000000000000000186e53ea105d0d9b8453d14666b2bee16b68510544fe4,2026-07-30T01:36:08+00:00,2,500498678,1,500493338,5340,30.085,v0_p2wpkh,v0_p2wpkh,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,sweep-funding-tx,high,Pays bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0 (the sole address that directly funded the named consolidation address bc1qq85v2c926eg6pgxhwp6q7lf6cnsz80qs3fcu9r within the target block range) and is itself confirmed inside that same block range.,"tools/onchain/trace_cluster.py (mempool.space API, live query)"
